Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG_x,NAME,GP,MIN,MPG_y,STARTS,3PT FGs M/A, 3PT FGs %,2PT FGs M/A,2PT FGs %,FGs %,DEFENDED M/A,DEFENDED %,OPEN M/A,OPEN %,FTs M/A,FTs %,HI,LO,DEF REBOUNDS,OFF REBOUNDS,AST,STL,BLK,OFF TOs,DEF TOs,TECH,UF,TOTAL
19,"Jaymalin, Joaquin",ADU,F,2.8,1.3,0.5,0.4,0.0,0.4,1.4,0.1,1.6,2.0,27.30%,28.90%,50.00%,10.33,Joaquin Jaymalin,14,8872,10:33:43,6,12/42,28.57,2/10,20.0,26.92,11/47,23.4,3/5,60.0,1/2,50.0,10,0,15,4,8,6,0,0,20,0,0,20
2,"Torres, Allen",ADU,G,2.1,1.6,0.5,0.4,0.3,1.0,0.9,0.7,-2.1,2.5,24.40%,28.60%,80.00%,9.51,Allen Torres,14,8280,9:51:26,0,4/15,26.67,5/26,19.23,21.95,9/40,22.5,0/1,0.0,4/5,80.0,8,0,20,2,8,6,4,0,12,0,0,12
17,"Colonia, Jed",ADU,G,1.9,2.6,2.7,0.5,0.1,1.4,1.9,2.1,-2.3,6.0,20.60%,0.00%,56.00%,16.43,Jed Colonia,14,14043,16:43:04,7,0/5,0.0,7/26,26.92,22.58,6/30,20.0,1/1,100.0,14/25,56.0,5,0,33,6,40,5,1,2,24,0,1,27
24,"Barcelona, Joshua",ADU,F,0.8,0.8,0.2,0.0,0.0,0.3,0.7,0.2,-1.4,1.4,50.00%,0.00%,50.00%,4.54,Joshua Barcelona,12,3530,4:54:10,0,0/0,0.0,5/10,50.0,50.0,4/9,44.44,1/1,100.0,1/2,50.0,2,0,6,5,3,0,0,1,8,0,0,9
15,"Fuentebella, Joshua",ADU,F,0.6,0.2,0.1,0.0,0.0,0.1,0.5,0.1,0.5,0.3,23.10%,22.20%,0.00%,4.13,Joshua Fuentebella,12,3045,4:13:45,0,2/9,22.22,2/4,50.0,30.77,4/12,33.33,0/1,0.0,0/0,0.0,3,0,3,0,2,0,0,0,7,0,0,7
26,"Magbuhos, Wilfrey",ADU,F,0.3,0.3,0.0,0.1,0.0,0.0,0.2,0.3,-0.3,1.0,100.00%,0.00%,0.00%,1.1,Wilfrey Magbuhos,11,775,1:10:27,1,0/0,0.0,2/2,100.0,100.0,1/1,100.0,1/1,100.0,0/0,0.0,2,0,4,0,0,1,0,0,2,0,0,2
33,"Tamayo, Carl",UP,C,13.3,7.3,1.4,0.9,0.2,1.7,1.8,3.4,7.2,17.6,45.10%,26.20%,66.10%,23.54,Carl Tamayo,14,20076,23:54:00,13,14/57,24.56,57/100,57.0,45.22,61/144,42.36,10/13,76.92,37/56,66.07,20,0,77,31,21,14,3,2,23,0,0,25
22,"Lucero, Zavier",UP,F,11.4,5.7,2.1,1.5,0.9,2.3,1.6,1.9,3.4,14.9,43.00%,34.70%,76.50%,23.3,Zavier Lucero,14,19747,23:30:30,1,17/46,36.96,42/92,45.65,42.75,56/135,41.48,3/3,100.0,24/31,77.42,22,0,50,24,27,20,10,3,20,0,0,23
10,"Diouf, Malick",UP,C,11.2,11.5,2.8,1.4,1.7,1.7,2.7,3.6,11.7,24.9,49.20%,20.00%,68.10%,22.51,Malick Diouf,14,19201,22:51:30,14,3/14,21.43,51/92,55.43,50.94,48/100,48.0,6/6,100.0,40/59,67.8,23,4,108,44,40,21,22,0,38,0,0,38
11,"Fortea, Terrence",UP,G,10.0,2.5,3.9,1.1,0.0,3.6,1.3,2.0,6.5,10.7,39.60%,40.30%,77.30%,24.28,Terrence Fortea,11,16156,24:28:44,8,26/63,41.27,10/27,37.04,40.0,30/82,36.59,6/8,75.0,16/20,80.0,17,3,26,4,45,13,0,2,12,0,0,14
12,"Cagulangan, Jd",UP,G,6.6,3.1,4.9,1.1,0.0,1.9,1.2,1.7,5.2,10.7,33.30%,36.10%,58.80%,19.57,Jd Cagulangan,8,9577,19:57:08,1,12/32,37.5,4/14,28.57,34.78,14/43,32.56,2/3,66.67,7/12,58.33,9,1,20,5,38,9,0,2,7,0,1,10
3,"Spencer, James",UP,F,6.4,2.9,2.3,0.5,0.1,1.9,1.3,1.0,6.2,7.2,36.00%,32.10%,77.80%,22.47,James Spencer,14,19138,22:47:00,14,18/55,32.73,14/30,46.67,37.65,28/79,35.44,4/6,66.67,14/18,77.78,19,0,33,11,33,7,1,0,18,0,0,18
18,"Alarcon, Harold",UP,G,5.7,3.1,1.1,0.7,0.1,1.0,2.7,1.3,4.7,7.8,37.00%,33.30%,81.50%,17.59,Harold Alarcon,14,15116,17:59:43,5,10/28,35.71,17/42,40.48,38.57,26/66,39.39,1/4,25.0,20/25,80.0,10,0,27,16,17,10,1,1,33,1,2,37
15,"Gonzales, Cyril",UP,G,5.5,0.8,0.7,1.0,0.0,0.9,2.1,1.1,1.6,4.9,43.70%,36.00%,54.50%,14.42,Cyril Gonzales,13,11471,14:42:23,0,7/22,31.82,20/39,51.28,44.26,25/57,43.86,2/4,50.0,5/7,71.43,15,0,3,7,8,13,0,0,27,0,0,27
8,"Abadiano, Gerry",UP,G,5.1,2.0,1.1,0.6,0.0,1.1,1.7,1.8,6.6,6.7,35.80%,27.60%,82.80%,17.19,Gerry Abadiano,14,14554,17:19:34,14,7/27,25.93,10/23,43.48,34.0,13/43,30.23,4/7,57.14,24/29,82.76,13,0,13,9,15,7,0,3,22,0,0,25
32,"Galinato, Henry",UP,C,4.3,3.8,0.6,0.1,0.2,1.5,1.2,1.5,-1.8,6.5,50.00%,0.00%,50.00%,10.38,Henry Galinato,13,8304,10:38:46,0,0/1,0.0,23/46,50.0,48.94,18/41,43.9,5/6,83.33,10/20,50.0,9,0,34,17,8,1,3,1,16,1,0,18
